年	地域	国	メダル数
1992	東南アジア	マレーシア	2
1996	東南アジア	マレーシア	3
2008	東南アジア	マレーシア	1
2012	東南アジア	マレーシア	2
2008	サブサハラ・アフリカ	モーリシャス	1
1932	ラテンアメリカ・カリブ海地域	メキシコ	2
1936	ラテンアメリカ・カリブ海地域	メキシコ	16
1948	ラテンアメリカ・カリブ海地域	メキシコ	9
1952	ラテンアメリカ・カリブ海地域	メキシコ	1
1956	ラテンアメリカ・カリブ海地域	メキシコ	2
1960	ラテンアメリカ・カリブ海地域	メキシコ	1
1964	ラテンアメリカ・カリブ海地域	メキシコ	1
1968	ラテンアメリカ・カリブ海地域	メキシコ	9
1972	ラテンアメリカ・カリブ海地域	メキシコ	1
1976	ラテンアメリカ・カリブ海地域	メキシコ	2
1980	ラテンアメリカ・カリブ海地域	メキシコ	12
1984	ラテンアメリカ・カリブ海地域	メキシコ	6
1988	ラテンアメリカ・カリブ海地域	メキシコ	2
1992	ラテンアメリカ・カリブ海地域	メキシコ	1
1996	ラテンアメリカ・カリブ海地域	メキシコ	1
2000	ラテンアメリカ・カリブ海地域	メキシコ	6
2004	ラテンアメリカ・カリブ海地域	メキシコ	4
2008	ラテンアメリカ・カリブ海地域	メキシコ	4
2012	ラテンアメリカ・カリブ海地域	メキシコ	26
1996	東ヨーロッパ	モルドバ	3
2000	東ヨーロッパ	モルドバ	2
2008	東ヨーロッパ	モルドバ	1
1968	東アジア	モンゴル	4
1972	東アジア	モンゴル	1
1976	東アジア	モンゴル	1
1980	東アジア	モンゴル	4
1988	東アジア	モンゴル	1
1992	東アジア	モンゴル	2
1996	東アジア	モンゴル	1
2004	東アジア	モンゴル	1
2008	東アジア	モンゴル	4
2012	東アジア	モンゴル	5
2012	南ヨーロッパ	モンテネグロ	14
1960	北アフリカ	モロッコ	1
1984	北アフリカ	モロッコ	2
1988	北アフリカ	モロッコ	3
1992	北アフリカ	モロッコ	3
1996	北アフリカ	モロッコ	2
2000	北アフリカ	モロッコ	5
2004	北アフリカ	モロッコ	3
2008	北アフリカ	モロッコ	2
2012	北アフリカ	モロッコ	1
1996	サブサハラ・アフリカ	モザンビーク	1
2000	サブサハラ・アフリカ	モザンビーク	1
1992	サブサハラ・アフリカ	ナミビア	2
1996	サブサハラ・アフリカ	ナミビア	2
1900	西ヨーロッパ	オランダ	20
1908	西ヨーロッパ	オランダ	11
1912	西ヨーロッパ	オランダ	22
1920	西ヨーロッパ	オランダ	48
1924	西ヨーロッパ	オランダ	26
1928	西ヨーロッパ	オランダ	65
1932	西ヨーロッパ	オランダ	12
1936	西ヨーロッパ	オランダ	37
1948	西ヨーロッパ	オランダ	42
1952	西ヨーロッパ	オランダ	18
1960	西ヨーロッパ	オランダ	3
1964	西ヨーロッパ	オランダ	30
1968	西ヨーロッパ	オランダ	14
1972	西ヨーロッパ	オランダ	6
1976	西ヨーロッパ	オランダ	15
1980	西ヨーロッパ	オランダ	6
1984	西ヨーロッパ	オランダ	40
1988	西ヨーロッパ	オランダ	44
1992	西ヨーロッパ	オランダ	33
1996	西ヨーロッパ	オランダ	73
2000	西ヨーロッパ	オランダ	79
2004	西ヨーロッパ	オランダ	76
2008	西ヨーロッパ	オランダ	62
2012	西ヨーロッパ	オランダ	69
1988	ラテンアメリカ・カリブ海地域	オランダ領アンティル	1
1920	オーストラレーシア	ニュージーランド	1
1924	オーストラレーシア	ニュージーランド	1
1928	オーストラレーシア	ニュージーランド	1
1932	オーストラレーシア	ニュージーランド	2
1936	オーストラレーシア	ニュージーランド	1
1952	オーストラレーシア	ニュージーランド	3
1956	オーストラレーシア	ニュージーランド	3
1960	オーストラレーシア	ニュージーランド	3
1964	オーストラレーシア	ニュージーランド	6
1968	オーストラレーシア	ニュージーランド	7
1972	オーストラレーシア	ニュージーランド	14
1976	オーストラレーシア	ニュージーランド	27
1984	オーストラレーシア	ニュージーランド	23
1988	オーストラレーシア	ニュージーランド	24
1992	オーストラレーシア	ニュージーランド	15
1996	オーストラレーシア	ニュージーランド	9
2000	オーストラレーシア	ニュージーランド	4
2004	オーストラレーシア	ニュージーランド	6
2008	オーストラレーシア	ニュージーランド	14
2012	オーストラレーシア	ニュージーランド	26
1972	サブサハラ・アフリカ	ニジェール	1
1964	サブサハラ・アフリカ	ナイジェリア	1
1972	サブサハラ・アフリカ	ナイジェリア	1
1984	サブサハラ・アフリカ	ナイジェリア	5
1992	サブサハラ・アフリカ	ナイジェリア	11
1996	サブサハラ・アフリカ	ナイジェリア	26
2000	サブサハラ・アフリカ	ナイジェリア	8
2004	サブサハラ・アフリカ	ナイジェリア	8
2008	サブサハラ・アフリカ	ナイジェリア	24
1972	東アジア	北朝鮮	15
1976	東アジア	北朝鮮	2
1980	東アジア	北朝鮮	5
1992	東アジア	北朝鮮	10
1996	東アジア	北朝鮮	5
2000	東アジア	北朝鮮	4
2004	東アジア	北朝鮮	5
2008	東アジア	北朝鮮	6
2012	東アジア	北朝鮮	6
1900	北ヨーロッパ	ノルウェー	9
1908	北ヨーロッパ	ノルウェー	44
1912	北ヨーロッパ	ノルウェー	76
1920	北ヨーロッパ	ノルウェー	141
1924	北ヨーロッパ	ノルウェー	26
1928	北ヨーロッパ	ノルウェー	9
1936	北ヨーロッパ	ノルウェー	28
1948	北ヨーロッパ	ノルウェー	18
1952	北ヨーロッパ	ノルウェー	13
1956	北ヨーロッパ	ノルウェー	3
1960	北ヨーロッパ	ノルウェー	2
1968	北ヨーロッパ	ノルウェー	6
1972	北ヨーロッパ	ノルウェー	8
1976	北ヨーロッパ	ノルウェー	6
1984	北ヨーロッパ	ノルウェー	4
1988	北ヨーロッパ	ノルウェー	23
1992	北ヨーロッパ	ノルウェー	23
1996	北ヨーロッパ	ノルウェー	25
2000	北ヨーロッパ	ノルウェー	44
2004	北ヨーロッパ	ノルウェー	7
2008	北ヨーロッパ	ノルウェー	22
2012	北ヨーロッパ	ノルウェー	17
1956	南アジア	パキスタン	14
1960	南アジア	パキスタン	14
1964	南アジア	パキスタン	16
1968	南アジア	パキスタン	13
1972	南アジア	パキスタン	15
1976	南アジア	パキスタン	16
1984	南アジア	パキスタン	16
1988	南アジア	パキスタン	1
1992	南アジア	パキスタン	16
1948	ラテンアメリカ・カリブ海地域	パナマ	2
2008	ラテンアメリカ・カリブ海地域	パナマ	1
2004	ラテンアメリカ・カリブ海地域	パラグアイ	17
1948	ラテンアメリカ・カリブ海地域	ペルー	1
1984	ラテンアメリカ・カリブ海地域	ペルー	1
1988	ラテンアメリカ・カリブ海地域	ペルー	12
1992	ラテンアメリカ・カリブ海地域	ペルー	1
1928	東南アジア	フィリピン	1
1932	東南アジア	フィリピン	3
1936	東南アジア	フィリピン	1
1964	東南アジア	フィリピン	1
1988	東南アジア	フィリピン	1
1992	東南アジア	フィリピン	1
1996	東南アジア	フィリピン	1
1924	東ヨーロッパ	ポーランド	5
1928	東ヨーロッパ	ポーランド	18
1932	東ヨーロッパ	ポーランド	19
1936	東ヨーロッパ	ポーランド	9
1948	東ヨーロッパ	ポーランド	1
1952	東ヨーロッパ	ポーランド	4
1956	東ヨーロッパ	ポーランド	19
1960	東ヨーロッパ	ポーランド	30
1964	東ヨーロッパ	ポーランド	48
1968	東ヨーロッパ	ポーランド	37
1972	東ヨーロッパ	ポーランド	46
1976	東ヨーロッパ	ポーランド	73
1980	東ヨーロッパ	ポーランド	50
1988	東ヨーロッパ	ポーランド	21
1992	東ヨーロッパ	ポーランド	42
1996	東ヨーロッパ	ポーランド	21
2000	東ヨーロッパ	ポーランド	24
2004	東ヨーロッパ	ポーランド	12
2008	東ヨーロッパ	ポーランド	20
2012	東ヨーロッパ	ポーランド	12
1924	南ヨーロッパ	ポルトガル	3
1936	南ヨーロッパ	ポルトガル	3
1948	南ヨーロッパ	ポルトガル	5
1952	南ヨーロッパ	ポルトガル	2
1960	南ヨーロッパ	ポルトガル	2
1976	南ヨーロッパ	ポルトガル	2
1984	南ヨーロッパ	ポルトガル	3
1988	南ヨーロッパ	ポルトガル	1
1996	南ヨーロッパ	ポルトガル	3
2000	南ヨーロッパ	ポルトガル	2
2004	南ヨーロッパ	ポルトガル	3
2008	南ヨーロッパ	ポルトガル	2
2012	南ヨーロッパ	ポルトガル	2
1948	ラテンアメリカ・カリブ海地域	プエルトリコ	1
1976	ラテンアメリカ・カリブ海地域	プエルトリコ	1
1984	ラテンアメリカ・カリブ海地域	プエルトリコ	2
1992	ラテンアメリカ・カリブ海地域	プエルトリコ	1
1996	ラテンアメリカ・カリブ海地域	プエルトリコ	1
2012	ラテンアメリカ・カリブ海地域	プエルトリコ	2
1992	西アジア	カタール	1
2000	西アジア	カタール	1
2012	西アジア	カタール	2
1924	東ヨーロッパ	ルーマニア	23
1936	東ヨーロッパ	ルーマニア	2
1952	東ヨーロッパ	ルーマニア	4
1956	東ヨーロッパ	ルーマニア	19
1960	東ヨーロッパ	ルーマニア	15
1964	東ヨーロッパ	ルーマニア	16
1968	東ヨーロッパ	ルーマニア	23
1972	東ヨーロッパ	ルーマニア	40
1976	東ヨーロッパ	ルーマニア	55
1980	東ヨーロッパ	ルーマニア	72
1984	東ヨーロッパ	ルーマニア	106
1988	東ヨーロッパ	ルーマニア	51
1992	東ヨーロッパ	ルーマニア	53
1996	東ヨーロッパ	ルーマニア	38
2000	東ヨーロッパ	ルーマニア	46
2004	東ヨーロッパ	ルーマニア	39
2008	東ヨーロッパ	ルーマニア	22
2012	東ヨーロッパ	ルーマニア	16
1996	東ヨーロッパ	ロシア	115
2000	東ヨーロッパ	ロシア	188
2004	東ヨーロッパ	ロシア	192
2008	東ヨーロッパ	ロシア	143
2012	東ヨーロッパ	ロシア	130
1908	東ヨーロッパ	ロシア帝国	3
1912	東ヨーロッパ	ロシア帝国	14
2000	西アジア	サウジアラビア	2
2012	西アジア	サウジアラビア	4
1988	サブサハラ・アフリカ	セネガル	1
2008	南ヨーロッパ	セルビア	15
2012	南ヨーロッパ	セルビア	16
2004	南ヨーロッパ	セルビア・モンテネグロ	14
1960	東南アジア	シンガポール	1
2008	東南アジア	シンガポール	3
2012	東南アジア	シンガポール	4
1996	東ヨーロッパ	スロバキア	3
2000	東ヨーロッパ	スロバキア	6
2004	東ヨーロッパ	スロバキア	10
2008	東ヨーロッパ	スロバキア	10
2012	東ヨーロッパ	スロバキア	5
1992	南ヨーロッパ	スロベニア	6
1996	南ヨーロッパ	スロベニア	2
2000	南ヨーロッパ	スロベニア	3
2004	南ヨーロッパ	スロベニア	5
2008	南ヨーロッパ	スロベニア	5
2012	南ヨーロッパ	スロベニア	5
1908	サブサハラ・アフリカ	南アフリカ	2
1912	サブサハラ・アフリカ	南アフリカ	7
1920	サブサハラ・アフリカ	南アフリカ	21
1924	サブサハラ・アフリカ	南アフリカ	3
1928	サブサハラ・アフリカ	南アフリカ	6
1932	サブサハラ・アフリカ	南アフリカ	5
1936	サブサハラ・アフリカ	南アフリカ	1
1948	サブサハラ・アフリカ	南アフリカ	4
1952	サブサハラ・アフリカ	南アフリカ	14
1956	サブサハラ・アフリカ	南アフリカ	7
1960	サブサハラ・アフリカ	南アフリカ	3
1992	サブサハラ・アフリカ	南アフリカ	3
1996	サブサハラ・アフリカ	南アフリカ	5
2000	サブサハラ・アフリカ	南アフリカ	5
2004	サブサハラ・アフリカ	南アフリカ	10
2008	サブサハラ・アフリカ	南アフリカ	1
2012	サブサハラ・アフリカ	南アフリカ	9
1948	東アジア	韓国	2
1952	東アジア	韓国	2
1956	東アジア	韓国	2
1964	東アジア	韓国	3
1968	東アジア	韓国	2
1972	東アジア	韓国	1
1976	東アジア	韓国	17
1984	東アジア	韓国	42
1988	東アジア	韓国	77
1992	東アジア	韓国	49
1996	東アジア	韓国	66
2000	東アジア	韓国	73
2004	東アジア	韓国	52
2008	東アジア	韓国	78
2012	東アジア	韓国	63
1952	東ヨーロッパ	ソビエト連邦	117
1956	東ヨーロッパ	ソビエト連邦	169
1960	東ヨーロッパ	ソビエト連邦	169
1964	東ヨーロッパ	ソビエト連邦	174
1968	東ヨーロッパ	ソビエト連邦	188
1972	東ヨーロッパ	ソビエト連邦	211
1976	東ヨーロッパ	ソビエト連邦	285
1980	東ヨーロッパ	ソビエト連邦	442
1988	東ヨーロッパ	ソビエト連邦	294
1900	南ヨーロッパ	スペイン	2
1920	南ヨーロッパ	スペイン	24
1928	南ヨーロッパ	スペイン	3
1932	南ヨーロッパ	スペイン	1
1948	南ヨーロッパ	スペイン	3
1952	南ヨーロッパ	スペイン	1
1960	南ヨーロッパ	スペイン	14
1972	南ヨーロッパ	スペイン	1
1976	南ヨーロッパ	スペイン	6
1980	南ヨーロッパ	スペイン	24
1984	南ヨーロッパ	スペイン	19
1988	南ヨーロッパ	スペイン	5
1992	南ヨーロッパ	スペイン	66
1996	南ヨーロッパ	スペイン	67
2000	南ヨーロッパ	スペイン	43
2004	南ヨーロッパ	スペイン	27
2008	南ヨーロッパ	スペイン	71
2012	南ヨーロッパ	スペイン	65
1948	南アジア	スリランカ	1
2000	南アジア	スリランカ	1
2008	サブサハラ・アフリカ	スーダン	1
1988	ラテンアメリカ・カリブ海地域	スリナム	1
1992	ラテンアメリカ・カリブ海地域	スリナム	1
1900	北ヨーロッパ	スウェーデン	1
1908	北ヨーロッパ	スウェーデン	98
1912	北ヨーロッパ	スウェーデン	173
1920	北ヨーロッパ	スウェーデン	146
1924	北ヨーロッパ	スウェーデン	80
1928	北ヨーロッパ	スウェーデン	36
1932	北ヨーロッパ	スウェーデン	31
1936	北ヨーロッパ	スウェーデン	34
1948	北ヨーロッパ	スウェーデン	73
1952	北ヨーロッパ	スウェーデン	70
1956	北ヨーロッパ	スウェーデン	34
1960	北ヨーロッパ	スウェーデン	7
1964	北ヨーロッパ	スウェーデン	15
1968	北ヨーロッパ	スウェーデン	9
1972	北ヨーロッパ	スウェーデン	21
1976	北ヨーロッパ	スウェーデン	10
1980	北ヨーロッパ	スウェーデン	18
1984	北ヨーロッパ	スウェーデン	32
1988	北ヨーロッパ	スウェーデン	16
1992	北ヨーロッパ	スウェーデン	35
1996	北ヨーロッパ	スウェーデン	31
2000	北ヨーロッパ	スウェーデン	32
2004	北ヨーロッパ	スウェーデン	12
2008	北ヨーロッパ	スウェーデン	7
2012	北ヨーロッパ	スウェーデン	23
1896	西ヨーロッパ	スイス	3
1900	西ヨーロッパ	スイス	15
1904	西ヨーロッパ	スイス	2
1920	西ヨーロッパ	スイス	29
1924	西ヨーロッパ	スイス	65
1928	西ヨーロッパ	スイス	29
1932	西ヨーロッパ	スイス	1
1936	西ヨーロッパ	スイス	47
1948	西ヨーロッパ	スイス	32
1952	西ヨーロッパ	スイス	33
1956	西ヨーロッパ	スイス	3
1960	西ヨーロッパ	スイス	11
1964	西ヨーロッパ	スイス	6
1968	西ヨーロッパ	スイス	13
1972	西ヨーロッパ	スイス	8
1976	西ヨーロッパ	スイス	10
1980	西ヨーロッパ	スイス	2
1984	西ヨーロッパ	スイス	15
1988	西ヨーロッパ	スイス	8
1992	西ヨーロッパ	スイス	1
1996	西ヨーロッパ	スイス	11
2000	西ヨーロッパ	スイス	14
2004	西ヨーロッパ	スイス	7
2008	西ヨーロッパ	スイス	11
2012	西ヨーロッパ	スイス	4
1984	西アジア	シリア	1
1996	西アジア	シリア	1
2004	西アジア	シリア	1
2008	中央アジア	タジキスタン	2
2012	中央アジア	タジキスタン	1
1980	サブサハラ・アフリカ	タンザニア	2
1976	東南アジア	タイ	1
1984	東南アジア	タイ	1
1988	東南アジア	タイ	1
1992	東南アジア	タイ	1
1996	東南アジア	タイ	2
2000	東南アジア	タイ	3
2004	東南アジア	タイ	8
2008	東南アジア	タイ	4
2012	東南アジア	タイ	4
2008	サブサハラ・アフリカ	トーゴ	1
1996	ポリネシア	トンガ	1
1948	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	1
1952	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	2
1964	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	6
1976	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	1
1996	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	2
2000	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	2
2004	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	1
2008	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	5
2012	ラテンアメリカ・カリブ海地域	トリニダード・トバゴ	10
1964	北アフリカ	チュニジア	2
1968	北アフリカ	チュニジア	2
1972	北アフリカ	チュニジア	1
1996	北アフリカ	チュニジア	1
2008	北アフリカ	チュニジア	1
2012	北アフリカ	チュニジア	3
1936	西アジア	トルコ	2
1948	西アジア	トルコ	12
1952	西アジア	トルコ	3
1956	西アジア	トルコ	7
1960	西アジア	トルコ	9
1964	西アジア	トルコ	6
1968	西アジア	トルコ	2
1972	西アジア	トルコ	1
1984	西アジア	トルコ	3
1988	西アジア	トルコ	2
1992	西アジア	トルコ	6
1996	西アジア	トルコ	6
2000	西アジア	トルコ	5
2004	西アジア	トルコ	10
2008	西アジア	トルコ	8
2012	西アジア	トルコ	4
1968	サブサハラ・アフリカ	ウガンダ	2
1972	サブサハラ・アフリカ	ウガンダ	2
1980	サブサハラ・アフリカ	ウガンダ	1
1996	サブサハラ・アフリカ	ウガンダ	1
2012	サブサハラ・アフリカ	ウガンダ	1
1996	東ヨーロッパ	ウクライナ	34
2000	東ヨーロッパ	ウクライナ	35
2004	東ヨーロッパ	ウクライナ	48
2008	東ヨーロッパ	ウクライナ	31
2012	東ヨーロッパ	ウクライナ	25
2004	西アジア	アラブ首長国連邦	1
1896	北アメリカ	アメリカ合衆国	20
1900	北アメリカ	アメリカ合衆国	55
1904	北アメリカ	アメリカ合衆国	394
1908	北アメリカ	アメリカ合衆国	63
1912	北アメリカ	アメリカ合衆国	101
1920	北アメリカ	アメリカ合衆国	193
1924	北アメリカ	アメリカ合衆国	198
1928	北アメリカ	アメリカ合衆国	84
1932	北アメリカ	アメリカ合衆国	181
1936	北アメリカ	アメリカ合衆国	92
1948	北アメリカ	アメリカ合衆国	148
1952	北アメリカ	アメリカ合衆国	130
1956	北アメリカ	アメリカ合衆国	175
1960	北アメリカ	アメリカ合衆国	200
1964	北アメリカ	アメリカ合衆国	265
1968	北アメリカ	アメリカ合衆国	149
1972	北アメリカ	アメリカ合衆国	155
1976	北アメリカ	アメリカ合衆国	155
1984	北アメリカ	アメリカ合衆国	333
1988	北アメリカ	アメリカ合衆国	193
1992	北アメリカ	アメリカ合衆国	224
1996	北アメリカ	アメリカ合衆国	260
2000	北アメリカ	アメリカ合衆国	248
2004	北アメリカ	アメリカ合衆国	264
2008	北アメリカ	アメリカ合衆国	315
2012	北アメリカ	アメリカ合衆国	250
1924	ラテンアメリカ・カリブ海地域	ウルグアイ	22
1928	ラテンアメリカ・カリブ海地域	ウルグアイ	22
1932	ラテンアメリカ・カリブ海地域	ウルグアイ	1
1948	ラテンアメリカ・カリブ海地域	ウルグアイ	3
1952	ラテンアメリカ・カリブ海地域	ウルグアイ	14
1956	ラテンアメリカ・カリブ海地域	ウルグアイ	12
1964	ラテンアメリカ・カリブ海地域	ウルグアイ	1
2000	ラテンアメリカ・カリブ海地域	ウルグアイ	1
1996	中央アジア	ウズベキスタン	2
2000	中央アジア	ウズベキスタン	4
2004	中央アジア	ウズベキスタン	5
2008	中央アジア	ウズベキスタン	6
2012	中央アジア	ウズベキスタン	3
1952	ラテンアメリカ・カリブ海地域	ベネズエラ	1
1960	ラテンアメリカ・カリブ海地域	ベネズエラ	1
1968	ラテンアメリカ・カリブ海地域	ベネズエラ	1
1976	ラテンアメリカ・カリブ海地域	ベネズエラ	1
1980	ラテンアメリカ・カリブ海地域	ベネズエラ	1
1984	ラテンアメリカ・カリブ海地域	ベネズエラ	3
2004	ラテンアメリカ・カリブ海地域	ベネズエラ	2
2008	ラテンアメリカ・カリブ海地域	ベネズエラ	1
2012	ラテンアメリカ・カリブ海地域	ベネズエラ	1
2000	東南アジア	ベトナム	1
2008	東南アジア	ベトナム	1
1988	ラテンアメリカ・カリブ海地域	バージン諸島	1
1968	西ヨーロッパ	西ドイツ	49
1972	西ヨーロッパ	西ドイツ	96
1976	西ヨーロッパ	西ドイツ	75
1984	西ヨーロッパ	西ドイツ	157
1988	西ヨーロッパ	西ドイツ	113
1924	南ヨーロッパ	ユーゴスラビア	2
1928	南ヨーロッパ	ユーゴスラビア	12
1936	南ヨーロッパ	ユーゴスラビア	1
1948	南ヨーロッパ	ユーゴスラビア	16
1952	南ヨーロッパ	ユーゴスラビア	24
1956	南ヨーロッパ	ユーゴスラビア	23
1960	南ヨーロッパ	ユーゴスラビア	17
1964	南ヨーロッパ	ユーゴスラビア	15
1968	南ヨーロッパ	ユーゴスラビア	29
1972	南ヨーロッパ	ユーゴスラビア	18
1976	南ヨーロッパ	ユーゴスラビア	19
1980	南ヨーロッパ	ユーゴスラビア	57
1984	南ヨーロッパ	ユーゴスラビア	87
1988	南ヨーロッパ	ユーゴスラビア	63
1996	南ヨーロッパ	ユーゴスラビア	26
2000	南ヨーロッパ	ユーゴスラビア	26
1984	サブサハラ・アフリカ	ザンビア	1
1996	サブサハラ・アフリカ	ザンビア	1
1980	サブサハラ・アフリカ	ジンバブエ	16
2004	サブサハラ・アフリカ	ジンバブエ	3
2008	サブサハラ・アフリカ	ジンバブエ	4
